domain_name,otx_count,vt_count,
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
domain_name,otx_count,vt_count,#VALUE!
secarborfcu.weebly.com,2,11,13
site-qo3nxvlmy.godaddysites.com,0,13,13
usmucl.weebly.com,2,11,13
xn--sprvce-ch-21a.weebly.com,1,12,13
010auth0.duckdns.org,0,12,12
041fcf0.netsolhost.com,0,12,12
188bet25.com,0,12,12
49e4a8d3-0bb3-46fb-a2b6-26ea6e7661aa.id.repl.co,0,12,12
5ee11405-7b58-4a3c-bedc-be486a5c5fec.id.repl.co,0,12,12
7kjxxlh4dkdmsb2hym8nf81npunsj58oqlit4ovzpgh4rpmlik3twsxej.pages.dev,1,11,12
acclaimedfreediskdrive.909392.repl.co,0,12,12
account-access-view.web.app,0,12,12
bcprminrcas.z13.web.core.windows.net,0,12,12
cuenta-renueva.com,0,12,12
freesonyps4games.weebly.com,1,11,12
gnfw.weeblysite.com,0,12,12
site-bophbnnbl.godaddysites.com,0,12,12
skdkfjhfkjf.weebly.com,1,11,12
smcbnokkiamou.com,0,12,12
smcbnokkiamsu.com,0,12,12
smcbnokkiardia.com,0,12,12
smcbnokkilancne.com,0,12,12
smcbnokkimaris.com,0,12,12
smcbnokkimerso.com,0,12,12
smcbnokkinorine.com,0,12,12
trezorrdtiostartt.webflow.io,0,12,12
trinnthanewshiiiiiii.weebly.com,1,11,12
www.badge-ulys.com,0,12,12
www.mkmncag.cn,0,12,12
www.ulys-payement.com,0,12,12
43br.weebly.com,1,11,12
birejip47.m-pages.com,2,10,12
ee-uk-unblock.web.app,0,12,12
site-98f6xq3nf.godaddysites.com,0,12,12
tinkabee.m-pages.com,2,10,12
08bc6a65-b4ac-4851-9ce2-57302e775629.id.repl.co,0,11,11
0be49829-cf8a-4de9-8e29-99db17acb685.id.repl.co,0,11,11
13j.org,0,11,11
2022binance.net,2,9,11
2944208c-b60c-472a-a564-497012df0595.id.repl.co,0,11,11
5e39ca0b-f5e8-4a0b-b1e5-f9f4f0cc401f.id.repl.co,0,11,11
972c6713-36ef-41ad-93a9-03021d543189.id.repl.co,0,11,11
9bbd8de9-f102-44aa-85e9-dc21a62e99e1.id.repl.co,0,11,11
a60b1901-2875-476b-b75d-909eaed6f3ab.id.repl.co,0,11,11
aaodating.com,1,10,11
ac392-track-view-mail-ups.web.app,0,11,11
accessoffice.one,1,10,11
account-deletion-form-10033819.firebaseapp.com,0,11,11
acesseonline-fevereiro.net,1,10,11
connexionmtmonaco.weebly.com,1,10,11
freepsncardps4.weebly.com,1,10,11
freepsngames205.weebly.com,1,10,11
games-for-playsation.weebly.com,1,10,11
junocom-105427.weeblysite.com,0,11,11
smcbnokkiomeia.com,0,11,11
web6ftkypsxf.weebly.com,1,10,11
www.service-assusante.info,0,11,11
email-83983-service-839-broadband-32.webflow.io,0,11,11
govpcnru.icu,1,10,11
jhjhb-ina-ko0-shop.fourthwall.com,1,10,11
wktxkyhh.aero.tt,2,9,11
062c2163-8e63-4cff-92d4-5abc81f2c01c.id.repl.co,0,10,10
092-100505dh3e.weeblysite.com,0,10,10
0a4aef1a-1574-4f32-9a44-b1f38017705c.id.repl.co,0,10,10
1--a0029182.repl.co,0,10,10
21673669-1bd7-4fef-9648-dba54a2d4f5f.id.repl.co,0,10,10
22052-5274.s1.webspace.re,2,8,10
22c85d95-2168-47a6-b673-019d42c4deec.id.repl.co,0,10,10
27f3673d-63d6-4ec9-b8af-f581abef0009.id.repl.co,0,10,10
2f7b0c08-7fc1-4318-96b5-c617d0255189.id.repl.co,0,10,10
3115tt.me,0,10,10
37fef801-c98e-4bc1-a71f-ae2c3f0e3efb.id.repl.co,0,10,10
54e8ced5d334-shared.lowcodeunit.com,0,10,10
595221.selcdn.ru,2,8,10
a04854e8-0cca-4b74-80e6-aacb14a4a5f7.id.repl.co,0,10,10
cdn.datanominee.com,0,10,10
declaraciondeviajerosdeguatemala.com,0,10,10
dgsfdspoc.weebly.com,1,9,10
easttplotoneacuplotmmmzzth.weebly.com,0,10,10
emailsrvrehjf.weebly.com,1,9,10
laythaizhrani.weebly.com,0,10,10
microsoft-office-account.weeblysite.com,0,10,10
mon-abonnement-ulys.com,0,10,10
myemailupdate.weebly.com,0,10,10
service-assusante.info,0,10,10
sitedocument.weebly.com,1,9,10
smcbnokkianesia.com,0,10,10
smcbnokkiloanu.com,0,10,10
smcbnokkixandr.com,0,10,10
www-mrelay-prbs.com,0,10,10
www.mondialrelaycreneaux.info,0,10,10
www.smcbnokkiemailerz1.com,-1,11,10
www.smcbnokkiemailerz2.com,0,10,10
www.smcbnokkiemailerz3.com,0,10,10
accm-104510.weeblysite.com,0,10,10
gt7v3.carrote-orange.network,1,9,10
site-hqd29g3al.godaddysites.com,0,10,10
1b7ac3f9-cedc-4b64-b984-25bc8dd9bb7b.id.repl.co,0,9,9
1supporto-sistema-sicuro.cfolks.pl,1,8,9
3599dc50-8154-453e-baf1-e2fdee57f71c.id.repl.co,0,9,9
5b7ce49b-a8e8-47af-bae5-435171f78fc7.id.repl.co,0,9,9
953d7c9d-a931-49ce-ad11-801bab907ec1.id.repl.co,0,9,9
a-ttyhoo.weebly.com,0,9,9
a4fb0c19-968b-4b57-adcc-3366ca0a21a8.id.repl.co,0,9,9
a61b62bd-5ba0-46d7-b15b-2b880044cd4b.id.repl.co,0,9,9
access-mtbonline.firebaseapp.com,0,9,9
accessobperbanca.sworte.com,2,7,9
broadband-101587.weeblysite.com,0,9,9
cdn.gotthetest.org,0,9,9
conectarseanahuacwebmail.weebly.com,1,8,9
espanactuli.weebly.com,1,8,9
hwaginhadarogeuin231.webflow.io,0,9,9
jhjkttyjjkuxuxcircle.weebly.com,0,9,9
jurtfgdsazxvcvbiom.weebly.com,0,9,9
lfus2-cuni-cz-office01.flazio.com,0,9,9
maplateaultelconnec8.weebly.com,1,8,9
officewesacs.weebly.com,0,9,9
playersstation.weebly.com,0,9,9
signinattcomdynamiciarlcontrolleriamoploginst0lj9.rqmailsencryptionfus.workers.dev,0,9,9
teal-department-701678.framer.app,0,9,9
www-retrait-mrelay.com,0,9,9
apollonweb.webflow.io,0,9,9
105528598557255.ga,2,6,8
1803b987-9144-48cc-9c22-fcfc4214cc53.id.repl.co,0,8,8
2001453526565.20331064515.my.id,1,7,8
2022-08-03t191114z.administrativa.repl.co,0,8,8
229766c7-3c25-4166-b5e3-c23028848034.id.repl.co,0,8,8
24363bff-3487-4bd5-9659-d3c57d60e577.id.repl.co,0,8,8
4af3f41f-a082-4479-9987-f128838c7c4e.id.repl.co,0,8,8
587c88df-b417-4d76-9193-26ff31ef6f64.id.repl.co,0,8,8
6f70c3df-db7d-403c-8332-6d6f231e76c1.id.repl.co,0,8,8
7685d2fd-68be-4cd2-93b0-850514815d24.id.repl.co,0,8,8
84301696-5b78-4359-8f92-ddf591dc8611.id.repl.co,0,8,8
a13c909610-c45b-11ed-96b6-fd31cd80905cpersonas.transaccional2.repl.co,0,8,8
abledimgreymicroprogramming.bsiasia.repl.co,0,8,8
account-status-42623.firebaseapp.com,0,8,8
accounts-centre-74225.firebaseapp.com,0,8,8
acdecon.be,2,6,8
cedarpointmy.weebly.com,0,8,8
ch-cornouaille.weebly.com,1,7,8
cmein.weeblysite.com,0,8,8
home-106135.weeblysite.com,0,8,8
meetyoursoulmatenow.webflow.io,0,8,8
1fdd0fff-dab7-4c04-af57-d0810500b7a4.id.repl.co,0,7,7
1ihch.io,2,5,7
